tariff_plan_code_from,tariff_plan_code_to,arpu_segment,mean_lift_ratio,median_lift_ratio,support
tariff_1,tariff_10,LOW,2.044636728316387,3.0,14
tariff_1,tariff_10,MID,0.8844752183621767,0.8370520447349055,26
tariff_1,tariff_10,HIGH,0.17665679289610395,0.08082267783182585,9
tariff_1,tariff_11,LOW,1.2661970226340573,1.2661970226340573,2
tariff_1,tariff_11,MID,1.193371114031096,0.9092855714448898,12
tariff_1,tariff_11,HIGH,0.023996354399308473,0.18558782420004902,4
tariff_1,tariff_12,MID,1.8147211636380423,1.8147211636380423,2
tariff_1,tariff_12,HIGH,0.40998918056931744,0.40998918056931744,2
tariff_1,tariff_13,LOW,2.12133522401442,2.377115882490118,22
tariff_1,tariff_13,MID,0.33500871341221405,0.12945083129223078,66
tariff_1,tariff_13,HIGH,-0.3547309197953163,-0.3789121649487466,14
tariff_1,tariff_21,LOW,0.41937705059090574,-0.21966814620296765,10
tariff_1,tariff_21,MID,0.88187128127053,0.715110541493111,5
tariff_1,tariff_4,LOW,1.9842897277819325,3.0,35
tariff_1,tariff_4,MID,0.9970311136625141,0.6657704191746932,51
tariff_1,tariff_4,HIGH,-0.0317440678819448,-0.07972701156624282,10
tariff_1,tariff_8,LOW,1.5487768447502956,3.0,71
tariff_1,tariff_8,MID,0.7851274525206257,0.5175258421983963,125
tariff_1,tariff_8,HIGH,-0.23717832716346202,-0.18630055850494714,32
tariff_1,tariff_9,LOW,1.9982446555687805,3.0,81
tariff_1,tariff_9,MID,1.329361829815006,1.4987082609577385,27
tariff_10,tariff_1,LOW,-0.8635379061371841,-0.8635379061371841,1
tariff_10,tariff_1,MID,-0.7416633204835663,-0.8210592953404756,12
tariff_10,tariff_1,HIGH,-0.5760149289791726,-0.5288250179753667,17
tariff_10,tariff_11,LOW,-0.012058119724218259,-0.9434371926438658,11
tariff_10,tariff_11,MID,0.41415618583543296,0.4539311552552814,86
tariff_10,tariff_11,HIGH,-0.05780110432062552,-0.03940497837919414,134
tariff_10,tariff_12,LOW,-0.6067943379547781,-1.0,4
tariff_10,tariff_12,MID,0.30191127470411855,0.31122585143319126,30
tariff_10,tariff_12,HIGH,-0.06670828714094876,-0.022662464159437585,91
tariff_10,tariff_13,LOW,1.9904472849666335,1.9904472849666335,2
tariff_10,tariff_13,MID,-0.17791055247618343,-0.2974126523453445,31
tariff_10,tariff_13,HIGH,-0.3488036306105409,-0.39892606117359064,33
tariff_10,tariff_21,LOW,1.0,1.0,2
tariff_10,tariff_21,MID,-0.21767599324321926,-0.21767599324321926,1
tariff_10,tariff_4,LOW,0.42446610821914493,0.2817760073838383,13
tariff_10,tariff_4,MID,0.006431126255594927,0.03122583496809228,60
tariff_10,tariff_4,HIGH,-0.3452035415120567,-0.296435152504917,77
tariff_10,tariff_8,LOW,0.17908349923250735,-0.9821217550413601,19
tariff_10,tariff_8,MID,0.21811502574878772,0.21997523868700186,138
tariff_10,tariff_8,HIGH,-0.1336522200628443,-0.12702691845866892,324
tariff_10,tariff_9,LOW,1.9405619610452443,3.0,8
tariff_10,tariff_9,MID,0.2256381741252158,0.16738750839489597,3
tariff_11,tariff_1,MID,-0.2573736656609223,-0.41527331021833014,6
tariff_11,tariff_1,HIGH,-0.30233830540138784,-0.3796934197151863,5
tariff_11,tariff_10,LOW,-0.5083402624052928,-0.9999475150952717,14
tariff_11,tariff_10,MID,0.24602805434040528,0.19616062707217227,29
tariff_11,tariff_10,HIGH,-0.05068882867867515,-0.08645491843138667,110
tariff_11,tariff_12,LOW,0.1298900157224021,-0.7502318860282229,20
tariff_11,tariff_12,MID,0.1045609120891264,0.15754840879396043,62
tariff_11,tariff_12,HIGH,0.07746405220237242,0.12055639398036457,107
tariff_11,tariff_13,LOW,0.11279707033754516,-0.7744058593249097,4
tariff_11,tariff_13,MID,-0.16974567912714367,-0.13563862332270582,7
tariff_11,tariff_13,HIGH,-0.4978903383600916,-0.5337661288850617,20
tariff_11,tariff_21,LOW,3.0,3.0,1
tariff_11,tariff_4,LOW,0.07765068641937267,-0.939648353008452,10
tariff_11,tariff_4,MID,0.21633905010854612,-7.772306510738479e-05,42
tariff_11,tariff_4,HIGH,-0.2804847658118418,-0.3791698710256641,42
tariff_11,tariff_8,LOW,1.2216609392800275,1.919359196652703,16
tariff_11,tariff_8,MID,0.23461677594404895,0.22388153241474393,103
