scenario,tariff_plan_code_from,tariff_plan_code_to,arpu_segment,arpu_change_pct,conversion_rate
history_shift,tariff_1,tariff_1,HIGH,0.0,0.5
history_shift,tariff_1,tariff_10,HIGH,0.025096244356064445,0.5
history_shift,tariff_1,tariff_11,HIGH,0.22183404024539238,0.5
history_shift,tariff_1,tariff_12,HIGH,0.3340433040480216,0.5
history_shift,tariff_1,tariff_13,HIGH,0.07128219078221208,0.5
history_shift,tariff_1,tariff_14,HIGH,-0.26174855773995964,0.5
history_shift,tariff_1,tariff_15,HIGH,-0.06750794093745685,0.5
history_shift,tariff_1,tariff_16,HIGH,0.026255159603061518,0.5
history_shift,tariff_1,tariff_17,HIGH,-0.006880989366805132,0.5
history_shift,tariff_1,tariff_18,HIGH,0.011240086868067687,0.5
history_shift,tariff_1,tariff_19,HIGH,-0.1629208541197207,0.5
history_shift,tariff_1,tariff_2,HIGH,-0.1224706120718379,0.5
history_shift,tariff_1,tariff_20,HIGH,-0.35905243978001344,0.5
history_shift,tariff_1,tariff_21,HIGH,0.2688609570419036,0.5
history_shift,tariff_1,tariff_3,HIGH,-0.03668740971139774,0.5
history_shift,tariff_1,tariff_4,HIGH,0.15925462213227362,0.5
history_shift,tariff_1,tariff_5,HIGH,0.10368125554413861,0.5
history_shift,tariff_1,tariff_6,HIGH,-0.0038876985913451,0.5
history_shift,tariff_1,tariff_7,HIGH,-0.08280932645595834,0.5
history_shift,tariff_1,tariff_8,HIGH,-0.03355898094289149,0.5
history_shift,tariff_1,tariff_9,HIGH,-0.056035699463222344,0.5
history_shift,tariff_1,tariff_1,LOW,0.0,0.5
history_shift,tariff_1,tariff_10,LOW,0.15921657778398138,0.5
history_shift,tariff_1,tariff_11,LOW,0.204663691671134,0.5
history_shift,tariff_1,tariff_12,LOW,0.1434948949637282,0.5
history_shift,tariff_1,tariff_13,LOW,0.19646173618118162,0.5
history_shift,tariff_1,tariff_14,LOW,0.11481350847191227,0.5
history_shift,tariff_1,tariff_15,LOW,-0.006175214251904065,0.5
history_shift,tariff_1,tariff_16,LOW,-0.336557190455234,0.5
history_shift,tariff_1,tariff_17,LOW,-0.05275772580916077,0.5
history_shift,tariff_1,tariff_18,LOW,-0.39902496732900417,0.5
history_shift,tariff_1,tariff_19,LOW,0.3284170389170612,0.5
history_shift,tariff_1,tariff_2,LOW,0.2646467380851908,0.5
history_shift,tariff_1,tariff_20,LOW,0.32885244042287287,0.5
history_shift,tariff_1,tariff_21,LOW,-0.1613238611544966,0.5
history_shift,tariff_1,tariff_3,LOW,0.08872251130228756,0.5
history_shift,tariff_1,tariff_4,LOW,0.47414949100111803,0.5
history_shift,tariff_1,tariff_5,LOW,-0.3304471879381181,0.5
history_shift,tariff_1,tariff_6,LOW,-0.019196919748573862,0.5
history_shift,tariff_1,tariff_7,LOW,0.09957450676614472,0.5
history_shift,tariff_1,tariff_8,LOW,0.42281459571701907,0.5
history_shift,tariff_1,tariff_9,LOW,0.6301185936578056,0.5
history_shift,tariff_1,tariff_1,MID,0.0,0.5
history_shift,tariff_1,tariff_10,MID,-0.09737147272257413,0.5
history_shift,tariff_1,tariff_11,MID,-0.1957286502155621,0.5
history_shift,tariff_1,tariff_12,MID,0.07693644018272239,0.5
history_shift,tariff_1,tariff_13,MID,0.10760438486087597,0.5
history_shift,tariff_1,tariff_14,MID,-0.23275319574958295,0.5
history_shift,tariff_1,tariff_15,MID,-0.139058357775623,0.5
